Eastern,East Akim,Asiakwa Supon,"Funeral Grounds, Asiakwa"
Eastern,East Akim,Asiakwa Twafo,"Chief Palace, Asiakwa"
Eastern,East Akim,Sagyimase,"Day Care Centre, Sagyimase"
Eastern,East Akim,Asikam,"Funeral Grounds, Asikam"
Eastern,East Akim,Pano/Kibi Zongo,Islamic Prim. Sch. Zongo Kibi
Eastern,East Akim,Kibi Ahenbronom,Presby Prim. Sch. Kibi
Eastern,East Akim,Kibi New Town,M/A Experimental Sch. Kibi (A)
Eastern,East Akim,Akwadum/Domeabra,"Community Centre, Kibi (A)"
Eastern,East Akim,Potroase,"Funeral Grounds, Potroase"
Eastern,East Akim,Odumase,"M/A JHS, Odumase"
Eastern,East Akim,Kwasi Komfo,Presby Prim. Sch. Okanta
Eastern,East Akim,Apapam,Presby Prim. Sch. Apapam
Eastern,East Akim,Wirenkyeren Amanfrom,"Pentecost Church, Wirenkyeren Amanfrom"
Eastern,East Akim,Apedwa Asewase Bremang,"CMB Shed, Apedwa"
Eastern,East Akim,Apedwa Gyanobaase,"Day Care Centre, Apedwa"
Eastern,East Akim,Nkronso,"CMB Shed II, Nkronso"
Eastern,East Akim,Akooko Aniabena/Tiger,"Chief Palace, Akooko"
Eastern,East Akim,Adjepomaa/Pechi Adwumoku,"Funeral Grounds, Adjepomaa"
Eastern,East Akim,Asafo,Presby Prim. Sch. Akim Asafo
Eastern,East Akim,Maase,Methodist Prim. Sch. Maase
Eastern,East Akim,Addonkwanta,Presby Prim. Sch. Addonkwanta
Eastern,East Akim,Subriso,M/A Prim. Sch. Ntaabea
Eastern,East Akim,Bunso,"CMB Shed, Bunso"
Eastern,East Akim,Apotosu Kukurantumi,"CHRISTECH SRC block, Kukurantumi"
Eastern,East Akim,"Ahenbronom, Kukurantumi","Town Council Hall, Kukurantumi (A)"
Eastern,East Akim,Sokode Juaso,M/A Prim. Sch. Sokode Juaso
Eastern,East Akim,Ati Amanfrom New Tafo,Presby Prim. Sch. Ati - New Tafo
Eastern,East Akim,Ati Ahenbronom New Tafo,"Chief Palace, Ati - New Tafo"
Eastern,East Akim,Mangoase New Tafo,Feden Prim. Sch. New Tafo
Eastern,East Akim,C R I G New Tafo,CRIG M/A Prim. Sch. New Tafo
Eastern,East Akim,Dar-El-Salam New Tafo,"Town Council Hall, New Tafo (A)"
Eastern,East Akim,Nobi Bayera,M/A Prim. Sch. Nobi Bayera
Eastern,East Akim,Anweabeng,Presby Prim. Sch. Anweabeng
Eastern,East Akim,Ahenbronom Old Tafo,"Chief Palace, Fofiase Old Tafo"
Eastern,East Akim,Abaase Old Tafo,WBM Zion SHS. Old Tafo
Eastern,East Akim,Afigya Osiem,"Police Station, Osiem"
Eastern,East Akim,Ahenbronom Osiem,"Presby JHS, Osiem"
Eastern,East Akim,Ettukrom,Methodist Prim. Sch. Ettukrom
Eastern,East Akim,Anyinasin,Presby Prim. Sch. Anyinasin
Eastern,SUHUM,ELECTORAL AREA NAME,DESIGNATED REGISTRATION CENTRE
Eastern,SUHUM,AYEH BRONMU NORTH,"ANGLICAN J.S.S SCHOOL, SUHUM ‘A’"
Eastern,SUHUM,AYEH BRONMU SOUTH,"ISLAMIC PRIMARY SCHOOL, SUHUM"
Eastern,SUHUM,OSAFOHENE ATIEMOKROM,"COMMUNITY CENTER, SUHUM"
Eastern,SUHUM,OFORIKROM,GHANATA D/A JHS ‘A’ SUHUM
Eastern,SUHUM,NARTEY ANOMA,METHODIST PRIMARY SCHOOL SUHUM
Eastern,SUHUM,DESIGNATED REGISTRATION CENTRE,OTHER POLLING STATIONS
Eastern,SUHUM,AHENBRONMU,PRESBY PRIMARY SCHOOL SUHUM ‘A’
Eastern,SUHUM,NEW TOWN SOUTH,SUHUM SEC. TECH SCHOOL ‘A’
Eastern,SUHUM,NEW TOWN NORTH,"METHODIST CHURCH, SUHUM NEW TOWN"
Eastern,SUHUM,OKANTA,"C.M.B. SHED, KWABENA KUMI"
Eastern,SUHUM,OMENAKO,OMENAKO D/A J H S
Eastern,SUHUM,DESIGNATED REGISTRATION CENTRE,OTHER POLLING STATIONS
Eastern,SUHUM,APONOAPONO,NSUTA WAWASE D/A JHS
Eastern,SUHUM,ADARKWA/OTWEBEDIADUA,ADARKWA D/A J.H.S
Eastern,SUHUM,AMANHYIA,"C.M.B. SHED, TETEH NKWANTA"
Eastern,SUHUM,TETEKASOM,D/A PRIMARY SCHOOL TETEKASOM
Eastern,SUHUM,BRONG DENSUSU,"C.M.B. SHED, BRONG DENSUSU"
Eastern,SUHUM,ZONGO AMANFROM,UNITED PRIMARY SCHOOL NANKESE
Eastern,SUHUM,NANKESE AHENBRONMU,K. ANNOR PRIM. SCH. OYOKO-OYE NANKESE
Eastern,SUHUM,DESIGNATED REGISTRATION CENTRE,OTHER POLLING STATIONS
Eastern,SUHUM,ABISIM,D/A J H S. ABISIM
Eastern,SUHUM,ADIDSO,"D/A PRIMARY SCHOOL, ADIDISO"
Eastern,SUHUM,AKORTEY,"D/A PRIMARY SCHOOL, AKORTEY"
Eastern,SUHUM,AKORABO,METHODIST PRIM. SCH. AKORABO
Eastern,SUHUM,AMEDE,PRESBY PRIMARY SCHOOL AKORABO NEW TOWN
Eastern,SUHUM,SUPRISO,"METHODIST PRIMARY SCHOOL, SUPRISO"
Eastern,SUHUM,KWASHIA,PRESBY PRIMARY SCHOOL KWASHIA
Eastern,SUHUM,KUKUA,R/C ‘B’ PRIM. SCH. . KUKUA
Eastern,SUHUM,KORANSANG,L/A J.H.S. KORANSANG
Eastern,SUHUM,DESIGNATED REGISTRATION CENTRE,OTHER POLLING STATIONS
Eastern,SUHUM,MAMENG,PRESBY PRIMARY SCHOOL MAMENG
Eastern,SUHUM,ZORH,D/A PRIMARY SCHOOL ZORH
Eastern,SUHUM,ASAREKROM,D/A PRIM. SCH. ASRENSU DEDEWA NO. 1
Eastern,Lower Manya,KPONG AHUDZO,"RC Prim. School, Kpong"
Eastern,Lower Manya,KPONG ZONGO,Anlokordzi
Eastern,Lower Manya,OKWENYA,Wetsonya
Eastern,Lower Manya,VRA RESETTLEMENT,Community Dev’t Centre
Eastern,Lower Manya,PARKSON,"Presby Prim. Sch., Kpong"
Eastern,Lower Manya,NUASO NEW TOWN,Makrosec
Eastern,Lower Manya,NUASO OLD TOWN,"Roman Chapel, Nuaso"
Eastern,Lower Manya,MANYAKPONGUNOR SOUTH,Manyakpongunor Post Office
Eastern,Lower Manya,MANYAKPONGUNOR NORTH,"Presby Prim. Sch., M’kpongunor"
Eastern,Lower Manya,YOHE,"Presby Chapel, Siasi"
Eastern,Lower Manya,ABANSE,"Church of Pentecost, Akromoase"
Eastern,Lower Manya,AGBOM EAST,Blornguanya
Eastern,Lower Manya,AGBOM WEST,"Meth. Prim., Abordonya"
Eastern,Lower Manya,AGOMANYA SOUTH,Agormanya Market Area
Eastern,Lower Manya,AGOMANYA,Ablotsi
Eastern,Lower Manya,ODUMASE MAMPONG,"Ang. Prim. Sch., Mampong"
Eastern,Lower Manya,KORLETSOM,Laasi Park
Eastern,Lower Manya,ODUMASE NORTH,"Presby Chapel, Odumase"
Eastern,Lower Manya,ODUMASE SOUTH,Accra Station. Odumase
Eastern,Lower Manya,KODJONYA,Liberty
Eastern,Lower Manya,ATUA,"GES Office, Atua"
Eastern,Lower Manya,ASITEY,Manguam
Eastern,Lower Manya,AYERMESU,"MA Prim. School, Ayermesu"
Eastern,Lower Manya,OBORPAH,"MA Prim. School, Oborpah"
Eastern,Lower Manya,WAWASE,"MA Prim. Sch., Wawase"
Eastern,Lower Manya,AMEDEKA,"MA Prim. School, Amedeka"
Eastern,Lower Manya,AKUTUE,Day Care Centre
Eastern,Lower Manya,AKUSE ZONGO,Akuse Zongo
Eastern,Lower Manya,OSORKUTU,Osorkutu
Eastern,Lower Manya,SALOM,"RC Prim. School, Salom Akuse"
Eastern,Lower Manya,BUNGALOW,"KC3, Akuse"
Eastern,West Akim,BEPOSO,ASAMANKESE COMM. CENTRE A
Eastern,West Akim,ABUCHEM,ASAMANKESE ARABIC DAY SCH 1
Eastern,West Akim,KROFOFOROM,KROFOROM L/A PRIM SCH.
Eastern,West Akim,ODJARDE,ODJARDE L/A PRIM SCH.
Eastern,West Akim,BRONOSO/CHRISTIAN QUARTERS,ASAMANKESE PRESBY PRIM. SCH. ‘A’
Eastern,West Akim,ABAASE,ASAMANKESE SALV. ARMY ‘A’
Eastern,West Akim,AHINASU,ASAMANKESE ANGLICAN JHS
Eastern,West Akim,ASAMANKETEWA,ASAMANKESE OLD METH. CHAPEL
Eastern,West Akim,ANUM,ANUM L/A KINDERGARTEN SCH.’A’
Eastern,West Akim,ROMAN QUARTERS,ASAMANKESE R/C PRIM SCH. ‘A’
Eastern,West Akim,ASIKAFO AMANTEM,ASAMANKESE METH. PRIM ‘A’
Eastern,West Akim,AMANFROM NO. 2,ASAMANKESE POST OFFICE ‘A’
Eastern,West Akim,SABON ZONG,EC OFFICE ASAMANKESE
Eastern,West Akim,BUNSO,BUNSO METH. PRIM SCH. ‘A’
Eastern,West Akim,TOPEASE,TOPEASE METH. PRIM SCH ‘A’
Eastern,West Akim,APRAMPRAMU NO. 1,PRESBY CHURCH OSENASE
Eastern,West Akim,DENSUAKWA,AME ZION CHURCH OSENASE
Eastern,West Akim,NKURANKAN,PRESBY PRIM SCH. NKURAKAN
Eastern,West Akim,KAKOASE,L/A PRIM SCH. KAKOASE ‘A’
Eastern,West Akim,APRAMPRAMU NO.2,PRESBY PRIM. SCH. OSENASE
Eastern,West Akim,NYANKOMASE,PRIM. HEALTH CARE OTWENKWANTA
Eastern,West Akim,AKANTENG,PRESBY PRIM. SCH. AKANTENG ‘A’
Eastern,West Akim,KOBRISO,L/A PRIM. SCH. KOBRISO
Eastern,West Akim,AKWADUM/ASUOFORI,L/A PRIM. SCH. AKWADUM
Eastern,West Akim,AWAHAM,PRESBY PRIM. SCH. AWAHAM
Eastern,West Akim,EKOSO,EKOSO PRESBY PRIM. SCH. A
Eastern,West Akim,AKIM BOSO,AKIM BOSO AME ZION ‘A’
Eastern,West Akim,BREKUMANSO,EKUMANSO L/A PRIM SCH.
Eastern,West Akim,AMAKO,AMAAKO PRESBY PRIM. SCH. ‘A’
Eastern,West Akim,OWURAM,OWURAM PRESBY PRIM. SCH. ‘A’
Eastern,West Akim,PABI,"PRESBY PRIM SCH, PABI"
Eastern,West Akim,AFRANSE,AFRANSE L/A PRIM SCH
Eastern,Akwapim North,ABIRIW,PREBY PRIM SCH. ABIRIW NO.1
Eastern,Akwapim North,DAWU AHENBRONMU,"METH. SCH. METH MISSION, DAWU"
Eastern,Akwapim North,DAWU BRONMU,PREBY SCH.ABESRE DAWU
Eastern,Akwapim North,AWUKUGUA ALANESO,"L/A PRIM SCH. AGYENESO, AWUKUGUA"
Eastern,Akwapim North,AWUKUGUA,"L/A PRIM SCH. AYAADE, AWUKUGUA"
Eastern,Akwapim North,METHODIST MISSION,"METH. CHAPEL SQUARE, ADUKROM"
Eastern,Akwapim North,ANINKODE,ADUKROM NO.3 POLLING STATION
Eastern,Akwapim North,AKOAWI,"SOCIA CENTRE,ADUKROMM"
Eastern,Akwapim North,ABONDE PRESBY MISSION,PRESBY PRIM SCH. ADUKROM
Eastern,Akwapim North,ASESEESO,PRESBY PRIM SCH. ASESEESO
Eastern,Akwapim North,ABONSE,PRESBY PRIM SCH. ABONSE
Eastern,Akwapim North,ADEAKU ABONDI,APIREDE POLLINF STATION
Eastern,Akwapim North,AKYAWRA MONU,PERSBY PRIM MONU APIREDE
Eastern,Akwapim North,ASENEMA KLUTIASE,L/A PRIM SCH. ASENEMA
Eastern,Akwapim North,ASI NKWANTA,L/A PRIM SCH. ASI NKWANTA
Eastern,Akwapim North,OKRAKWADJO,L/A PRIM SCH. SCH. OKRAKWADJO
Eastern,Akwapim North,AMANFRO,L/A PRIM SCH. AMANFO NO. 1
Eastern,Akwapim North,NKYENOA,PRESBY SCH. PLAZA
Eastern,Akwapim North,AKYEREMATENG,L/A PRIM SCH. AKYRERMATENG
Eastern,Akwapim North,ASAMANG ONYAMEBEKYERE,PERSBY PIRM SCH. ASAMANG
Eastern,Upper West Akim,OKUSO,METH. PRIM SCH. ADEISO ‘A’
Eastern,Upper West Akim,ROMAN RIDGE,R/C PRIM SCH ADIESO A
Eastern,Upper West Akim,PALACE,POST OFFICE ADEISO A
Eastern,Upper West Akim,SALEM,PRESBY PRIM SCH. ADEISO A
Eastern,Upper West Akim,ASUABA,PRESBY PRIM SCH ASUABA ‘A’
Eastern,Upper West Akim,KWASI NYARKO,PRESBY PRIM SCH KWASI NYARKO A
Eastern,Upper West Akim,DANSO,ANGLICAN PRIM SCH DANSO ‘A’
Eastern,Upper West Akim,OBENG YAW,L/A PRIM. SCH OBENG YAW
Eastern,Upper West Akim,ODUMKYERE-DARMANG,KOFI ASARE L/A PRIM SCH.
Eastern,Upper West Akim,DOMEABRA,PRESBY PRIM SCH DOMPONEASE
Eastern,Upper West Akim,OKURASE,UNITED PRIM SCH OKURASE ‘A’
Eastern,Upper West Akim,POBEE,CMD SHED MEPOM
Eastern,Upper West Akim,SUKRONG BETHLEHEM,R/C PRIM SCH SUKRONG BETHLEHEM
Eastern,Upper West Akim,AHENBRONOM,R/C PRIM SCH MEPOM
Eastern,Upper West Akim,SUKRONOM CANAAN,METH PRIM SCH SUKRONG CANAAN
Eastern,Upper West Akim,ATIMATIM,L/A PRIM. SCH. ATIMATIM
Eastern,Upper West Akim,ASUOKAW,METH. PRIM. SCH ASUOKAW ‘A’
Eastern,Upper West Akim,KATAYENSUA,L/A PRIM. SCH. KATAYENSUA
Eastern,Upper West Akim,ASIKASU,METH. PRIM. SCH. ASIKASU
Eastern,Upper West Akim,ASUOTWENE,PRESBY PRIM. SCH. ASUOTWENE ‘A’
Eastern,Upper West Akim,KRODUA,L/A PRIM. SCH. KRODUA
Eastern,Upper West Akim,AKIM-BREMAN,ANGLICAN PRIM. SCH. AKIM BREMAN
Eastern,Upper West Akim,KWAO-BAAH,ANGLICAN PRIM. SCH. KWAO BAAH
Eastern,Upper West Akim,NYANOA,METH. PRIM. SCH. NYANOA ‘A’
Eastern,Upper West Akim,ABAMKROM,METH. PRIM SCH. ABAMKROM ‘A’
Eastern,Upper West Akim,KUMIKROM,PRESBY PRIM. SCH. KUMIKROM
Eastern,Birim South,ELECTORAL AREA NAME,DESIGNATED REGISTRATION CENTRE
Eastern,Birim South,SUAME AKIM SWEDRU,SUAME AKIM SWEDRU ‘A’
Eastern,Birim South,ADEEETO AKIM SWEDRU,AHENBRONOM AKIM SWEDRU
Eastern,Birim South,ASRAMASE AKIM SWEDRU,BOSOME TEC SEC AKIM SWEDRU
Eastern,Birim South,"DOMEABRA , AKIM SWEDRU",BOSOME TECH. SEC. AKIM SWEDRU
Eastern,Birim South,ADIEMBRA/BABIANEHA,R/C PRIMARY SCH.ADIEMBRA
Eastern,Birim South,AKIM AWISA,"L/A JHS, AKIM AWISA"
Eastern,Birim South,AKIM APAASO,L/A PRIMARY SCH. ASAWASE
Eastern,Birim South,ELECTORAL AREA NAME,DESIGNATED REGISTRATION CENTRE
Eastern,Birim South,APENKWA ADUASA,APENKWA ADUASA
Eastern,Birim South,ODUMASE ADUASA,"L/A PRIMARY SCH., ADUASA"
Eastern,Birim South,AKOTEKROM,AKOTEKROM
Eastern,Birim South,APOLI,APOLI
Eastern,Birim South,ABUANU ACHIASE,"HEALTH CENTRE, ACHIASE"
Eastern,Birim South,ABROMANMU ACHIASE,ABROMANMU ACHIASE
Eastern,Birim South,KORANSAN ACHIASE,SALVATION ARMY (A)
Eastern,Birim South,ELECTORAL AREA NAME,DESIGNATED REGISTRATION CENTRE
Eastern,Birim South,AYOKOA ACHIASE,AYOKOA ACHIASE
Eastern,Birim South,OSORASE,CATH. MID SCH. OSORASE
Eastern,Birim South,TESHIEMAN,CMB TESHIEMAN
Eastern,Birim South,NYANKOMASE,A.M.E ZION PRIMARY SCH.
Eastern,Birim South,AHENBRONOM APERADE,AHENBRONOM APERADE
Eastern,Birim South,DUAKON,L/A PRIMARY SCH. DUAKON
Eastern,Birim South,AKENKANSU,METHODIST PRIMARY SCH. AKENKANSU
Eastern,Birim South,DESIGNATED REGISTRATION CENTRE,OTHER POLLING STATIONS
Eastern,Birim South,ABAASE ANAMASE,ABAASE ANAMASE
Eastern,Birim South,DWIRASE ANAMASE,L/A JHS ANAMASE
Eastern,Birim South,KOKOBENG,L/A PRIMARY SCH. KOKOBENG
Eastern,Birim South,BEINI/ ANYINAM-KOTOKU,L/A PRIMARY SCH. BIENI
Eastern,AKUAPEM SOUTH,ELECTORAL AREA NAME,DESIGNATED REGISTRATION CENTRE
Eastern,AKUAPEM SOUTH,FANTE TOWN,PRESBY JHS SCH. PAKRO
Eastern,AKUAPEM SOUTH,ADJENASE PIEM,ADJENASE MARKET PAKRO
Eastern,AKUAPEM SOUTH,ABAASE,R/C JHS PAKRO
Eastern,AKUAPEM SOUTH,TABANKRO,"PRESBY PRIM SCH , ADESA (PAKRO)"
Eastern,AKUAPEM SOUTH,OBOSONO,JHS OBOSONO
Eastern,AKUAPEM SOUTH,OBOTWERI,DAY CARE CENTRE OBOTWERI
Eastern,AKUAPEM SOUTH,DAGO,L/A PRIM SCH DAGO
Eastern,AKUAPEM SOUTH,FAHIAKOR,FAHIAKOR (DAGO)
Eastern,AKUAPEM SOUTH,OBODAN,UPPER PRIM OBODAN
Eastern,AKUAPEM SOUTH,DESIGNATED REGISTRATION CENTRE,OTHER POLLING STATIONS
Eastern,AKUAPEM SOUTH,AHYIRESU,AHYIRESU AMANFROM
Eastern,AKUAPEM SOUTH,ATTAKROM,L/A PRIM ATTAKROM
Eastern,AKUAPEM SOUTH,NSAKYE,PRESBY PRIM NSAKYE
Eastern,AKUAPEM SOUTH,NSABA,POKROM MARKET
Eastern,AKUAPEM SOUTH,ABURI AMANFO,L/A PRIM SCH. ABURI AMANFRO
Eastern,AKUAPEM SOUTH,OBOADAKA,PRESBY PRIM OBOAKAKA
Eastern,AKUAPEM SOUTH,DUMPONG,L/A PRIM SCH. DUMPONG
Eastern,AKUAPEM SOUTH,ABURI WEST,ADONTENG SEC SCH. ABURI ‘A’
Eastern,AKUAPEM SOUTH,ELECTORAL AREA NAME,DESIGNATED REGISTRATION CENTRE
Eastern,AKUAPEM SOUTH,ABURI EAST,BRUKUASE ‘’A’’
Eastern,AKUAPEM SOUTH,ABURI NORTH,ABURI PRESBY UPPER PRIM’’A’’
Eastern,AKUAPEM SOUTH,OTWERI,AHWEREASE PRESBY PRIM SCH
Eastern,AKUAPEM SOUTH,ADAMOROBEASE,ADAMOROBE ANGLICAN PRIM SCH ‘’A’’
Eastern,AKUAPEM SOUTH,JANKAMA/KONKONURU,JANKAMA PRESBY PRIM SCH
Eastern,AKUAPEM SOUTH,KITASE,KITASE L/A JHS ‘A’
Eastern,AKUAPEM SOUTH,BREKUSO,BREKUSO DAY CARE CENTRE
Eastern,New Juaben,OSABENE MILE 50,MILE 50 M.A. PRIMARY A
Eastern,New Juaben,ADWESO ESTATES,WESLEY INTERNATIONAL SCH.
Eastern,New Juaben,ADWESO TOWN,GOOD NEWS PRE. SCH. ADWESO
Eastern,New Juaben,TWO STREAMS,NURSES TRAINING
Eastern,New Juaben,NYEREDE NORTH,ANGLICAN PRI. SCH. KORELE NKWANTA
Eastern,New Juaben,NYEREDE SOUTH,M.A. J.H.S. TROM
Eastern,New Juaben,RESIDENTIAL,MINISTRIES CANTEEN KOFORIDUA
Eastern,New Juaben,OGUAA,LEGION HALL
Eastern,New Juaben,ASUOFIRISO,PRESBY ‘B’ JHS K’DUA
Eastern,New Juaben,ANGLICAN,ST PETER’S PRIMARY
Eastern,New Juaben,ADONTUA,ADONTUA KOFORIDUA
Eastern,New Juaben,OHEMAA PARK,OHEMAA PARK
Eastern,New Juaben,SCHOOL TOWN,METHODIST PRIM SCHOOL
Eastern,New Juaben,OLD ESTATE WEST,VERTINARY DEPT OFFICE K’DUA
Eastern,New Juaben,OLD ESTATE EAST,HOUSING CORP OFFICE OLD ESTATE
Eastern,New Juaben,TANOSO,TANOSO SOUTH
Eastern,New Juaben,NSUKWAOSO ABOTANSO,ANGLICAN PRIMARY
Eastern,New Juaben,NSUKWAOSO,TIMBER MARKET
Eastern,New Juaben,RAILWAY STATION,RAILWAY STATION
Eastern,New Juaben,DEBRAKROM,METHODIST BOYS SCH K’DUA
Eastern,New Juaben,AKWAASU ASEBI,RC UPPER PRIMARY
Eastern,New Juaben,CENTRAL MARKET AREA,KWAKU OCTERE DEPOT
Eastern,New Juaben,SOCIAL WELFARE,SOCIAL WELFARE OFFICE
Eastern,New Juaben,KANTUDU,SCC OFFICE K’DUA
Eastern,New Juaben,CENTRAL HOSPITAL,CENTRAL HOSPITAL O.P.D. K’DUA
Eastern,New Juaben,ANLO TOWN SOUTH,ANLO TOWN DOWN SOUTH
Eastern,New Juaben,ANLO TOWN NORTH,A.M.E. ZION JHS K’DUA
Eastern,New Juaben,KLU TOWN,APEMPOA SCHOOL K’DUA
Eastern,New Juaben,COMMUNITY A&B,MAHD-DEEN ISLAMIC JHS N/TOWN
Eastern,New Juaben,COMMUNITY C,ZONGO CLINIC
Eastern,New Juaben,COMMUNITY D,CHIEF BUTCHER N/T
Eastern,New Juaben,ADA,KOFORIDUA SENIOR HIGH SCH
Eastern,New Juaben,NYAMEKROM,RC PRIMARY SCH. NYAMEKROM
Eastern,New Juaben,SEPOAMIENSA,KOFORIDUA POLY POLLING STATION
Eastern,New Juaben,SUKUUM EFFIDUASE,METH JHS EFFIDUASE
Eastern,New Juaben,DAMANG,METH. CHAPEL EFFIDUASE
Eastern,New Juaben,OGUAA,PRESBY SCHOOL EFFIDUASE
Eastern,New Juaben,ADUMASA,EFFIDUASE COMMUNITY CENTRE
